Id,Rarity Score,Rank,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
0,129.59,2518,3,Female,Female-Mid,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
1,84.74,7092,2,Male,Male-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2,74.86,8451,1,Female,Female-Light,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
3,88.45,6714,3,Male,Male-Dark,Wild Hair,Nerd Glasses,NONE,NONE,NONE,Pipe,NONE,NONE,NONE
4,98.82,5503,4,Male,Male-Mid,Wild Hair,Big Shades,Goat,NONE,NONE,NONE,NONE,NONE,Earring
5,130.85,2422,3,Female,Female-Mid,Half Shaved,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
6,81.52,7480,1,Male,Male-Mid,Do-rag,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
7,201.04,608,3,Female,Female-Mid,Wild White Hair,Clown Eyes Blue,NONE,Spots,NONE,NONE,NONE,NONE,NONE
8,76.55,8219,2,Male,Male-Dark,Messy Hair,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
9,182.75,753,3,Male,Male-Mid,Police Cap,NONE,Big Beard,NONE,NONE,NONE,NONE,Clown Nose,NONE
10,83.34,7275,2,Female,Female-Dark,Mohawk,Blue Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
11,130.53,2448,3,Female,Female-Mid,Straight Hair Dark,Clown Eyes Green,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
12,117.06,3622,2,Female,Female-Dark,Blonde Short,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
13,125.14,2884,3,Female,Female-Light,Straight Hair Blonde,Big Shades,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
14,253.58,284,3,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,NONE,Pipe,Hot Lipstick,NONE,NONE
15,103.95,4985,3,Male,Male-Albino,Wild Hair,Regular Shades,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
16,68.63,8986,3,Male,Male-Mid,Stringy Hair,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
17,80.61,7572,2,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,NONE,Frown,NONE,NONE
18,124.67,2928,2,Male,Male-Mid,NONE,Eye Mask,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
19,74.99,8435,3,Female,Female-Dark,Bandana,Horned Rim Glasses,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
20,72.33,8677,1,Male,Male-Light,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
21,62.23,9489,3,Male,Male-Light,Messy Hair,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
22,224.73,418,2,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
23,92.93,6208,3,Male,Male-Light,Do-rag,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,Earring
24,84.94,7066,2,Male,Male-Light,Mohawk Dark,NONE,NONE,NONE,NONE,NONE,Smile,NONE,NONE
25,126.37,2775,1,Female,Female-Dark,Wild White Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
26,115.97,3732,1,Female,Female-Mid,Dark Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
27,56.7,9878,2,Male,Male-Light,Peak Spike,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
28,61.69,9559,2,Male,Male-Dark,Crazy Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
29,111.38,4086,3,Female,Female-Mid,Half Shaved,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
30,82.94,7312,2,Male,Male-Dark,Cap,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
31,74.43,8492,1,Female,Female-Dark,Stringy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
32,126.16,2791,2,Male,Male-Light,NONE,VR,NONE,NONE,NONE,NONE,Frown,NONE,NONE
33,81.18,7509,1,Male,Male-Light,Peak Spike,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
34,61.82,9543,2,Female,Female-Light,Frumpy Hair,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
35,172.61,908,5,Male,Male-Dark,Peak Spike,Horned Rim Glasses,Normal Beard,NONE,NONE,Cigarette,NONE,NONE,Earring
36,120.3,3362,1,Female,Female-Mid,Red Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
37,77.6,8023,2,Female,Female-Dark,Cap,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
38,78.6,7855,3,Female,Female-Light,Frumpy Hair,Classic Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
39,107.11,4620,3,Male,Male-Light,Shaved Head,Regular Shades,NONE,NONE,NONE,NONE,Frown,NONE,NONE
40,115.76,3750,3,Male,Male-Light,Bandana,NONE,Chinstrap,NONE,NONE,NONE,Smile,NONE,NONE
